City,Country,Date,Lat,Longt,Temp,Humidity,Cloudiness,Wind Speed
Tiksi,RU,1594786875,71.69,128.87,42.53,73,0,11.41
Rikitea,PF,1594786875,-23.12,-134.97,72.55,86,100,9.4
Mar del Plata,AR,1594786875,-38.0,-57.56,39.99,74,0,3.36
Hermanus,ZA,1594786875,-34.42,19.23,37.0,95,0,11.3
Labuhan,ID,1594786598,-6.88,112.21,84.67,65,5,3.76
Emerald,AU,1594786875,-23.53,148.17,68.0,30,0,10.29
Albany,US,1594786581,42.6,-73.97,69.01,75,53,2.93
Santa Cruz Cabrália,BR,1594786876,-16.28,-39.02,69.8,94,40,3.36
Mazatán,MX,1594786876,14.87,-92.45,79.02,79,77,5.3
Dakar,SN,1594786876,14.69,-17.44,78.8,78,40,11.41
Galesong,ID,1594786876,-5.32,119.37,87.8,66,20,3.36
Puerto Ayora,EC,1594786873,-0.74,-90.35,66.99,93,90,5.99
Busselton,AU,1594786832,-33.65,115.33,55.99,82,82,11.01
Riyadh,SA,1594786876,24.69,46.72,87.8,22,0,6.93
Punta Arenas,CL,1594786876,-53.15,-70.92,32.0,86,88,8.05
São Filipe,CV,1594786877,14.9,-24.5,76.62,85,36,11.12
Port Alfred,ZA,1594786877,-33.59,26.89,51.08,69,91,13.98
Eyl,SO,1594786877,7.98,49.82,82.4,58,100,26.06
Mataura,NZ,1594786877,-46.19,168.86,46.11,78,5,3.71
Hailey,US,1594786877,43.52,-114.32,64.4,42,5,4.7
Sobolevo,RU,1594786567,54.43,31.9,51.53,93,100,21.7
Mwene-Ditu,CD,1594786877,-7.0,23.45,60.53,56,30,3.98
Vila Franca do Campo,PT,1594786581,37.72,-25.43,66.2,82,40,6.93
Jacksonville,US,1594786877,30.33,-81.66,79.0,78,40,5.82
Margate,GB,1594786878,51.38,1.39,60.01,72,97,4.0
Uromi,NG,1594786878,6.7,6.33,68.95,100,100,2.57
Umm Kaddadah,SD,1594786878,13.6,26.69,82.71,59,19,14.92
Usinsk,RU,1594786878,65.99,57.53,59.56,82,86,5.44
Cumberland,US,1594786878,35.05,-78.87,80.01,83,1,3.36
Bluff,NZ,1594786878,-46.6,168.33,47.52,76,0,11.61
Port Elizabeth,ZA,1594786306,-33.92,25.57,48.2,76,65,10.29
Hofn,IS,1594786579,64.25,-15.21,51.04,89,99,6.24
Cape Town,ZA,1594786730,-33.93,18.42,44.6,81,0,8.05
San Policarpo,PH,1594786332,12.18,125.51,86.41,67,16,8.55
New Norfolk,AU,1594786879,-42.78,147.06,52.0,87,100,2.15
Salalah,OM,1594786287,17.02,54.09,80.6,94,90,5.82
Alyangula,AU,1594786879,-13.85,136.42,80.6,47,2,13.87
Thinadhoo,MV,1594786879,0.53,72.93,84.09,69,96,3.69
Hearst,CA,1594786879,49.68,-83.67,65.64,84,100,9.37
Minas Novas,BR,1594786880,-17.22,-42.59,60.46,59,0,1.39
Saint Paul Harbor,US,1594786880,57.79,-152.41,73.4,35,1,10.29
Methala,IN,1594786880,10.22,76.22,82.4,83,75,2.04
Nikolskoye,RU,1594786293,59.7,30.79,60.01,87,96,4.47
Yellowknife,CA,1594786565,62.46,-114.35,55.4,93,90,18.34
Montmagny,FR,1594786767,48.97,2.35,62.01,87,75,4.7
Pánuco,MX,1594786880,22.05,-98.17,78.89,91,39,7.18
Saint-Philippe,RE,1594786880,-21.36,55.77,73.4,68,18,8.05
Kapaa,US,1594786880,22.08,-159.32,80.6,78,40,12.75
Nichinan,JP,1594786881,31.6,131.37,78.8,65,75,13.87
Klaksvík,FO,1594786881,62.23,-6.59,48.2,93,86,5.82
Thompson,CA,1594786289,55.74,-97.86,60.8,93,90,6.93
Castro,BR,1594786881,-24.79,-50.01,49.51,94,6,4.92
Hirara,JP,1594786308,24.8,125.28,91.4,63,40,27.51
St-Jean-Port-Joli,CA,1594786881,47.22,-70.27,59.0,65,51,11.3
Hithadhoo,MV,1594786881,-0.6,73.08,83.53,70,47,2.3
Port Hardy,CA,1594786881,50.7,-127.42,60.8,77,75,3.36
Morón,AR,1594786601,-34.65,-58.62,45.0,61,0,3.85
Airai,TL,1594786292,-8.93,125.41,70.3,66,11,5.14
Rafaela,AR,1594786882,-31.25,-61.49,42.01,49,0,1.99
Ribeira Grande,PT,1594786882,38.52,-28.7,69.01,79,0,3.85
Aykhal,RU,1594786882,66.0,111.5,73.4,49,20,6.71
Qaanaaq,GL,1594786882,77.48,-69.36,40.33,83,100,8.66
Avarua,CK,1594786882,-21.21,-159.78,69.8,64,56,6.93
Carnarvon,AU,1594786882,-24.87,113.63,73.4,49,90,10.29
Boli,CN,1594786882,45.77,130.52,84.52,54,4,5.77
Atuona,PF,1594786883,-9.8,-139.03,79.72,75,11,19.46
Arraial do Cabo,BR,1594786883,-22.97,-42.03,68.65,78,98,13.44
Bafilo,TG,1594786883,9.35,1.27,73.4,100,100,9.17
Leningradskiy,RU,1594786883,69.38,178.42,43.34,79,96,16.26
Tuatapere,NZ,1594786288,-46.13,167.68,47.98,72,1,5.03
Balkhash,KZ,1594786883,46.84,74.98,77.0,36,86,17.9
Presidencia Roque Sáenz Peña,AR,1594786883,-26.79,-60.44,45.18,67,0,5.93
East London,ZA,1594786883,-33.02,27.91,51.8,57,53,8.05
Ushuaia,AR,1594786638,-54.8,-68.3,30.2,92,90,3.36
Cabo San Lucas,MX,1594786202,22.89,-109.91,91.4,33,5,6.93
San Patricio,MX,1594786309,19.22,-104.7,81.03,86,40,7.87
Sompeta,IN,1594786884,18.93,84.6,83.52,76,100,2.93
Hobart,AU,1594786624,-42.88,147.33,52.0,76,75,4.7
Nioro,GM,1594786884,13.35,-15.75,77.14,88,81,7.87
Arona,ES,1594786884,28.1,-16.68,73.99,83,0,5.82
Lebu,CL,1594786297,-37.62,-73.65,50.38,77,0,4.27
Bandarbeyla,SO,1594786302,9.49,50.81,83.32,55,100,30.22
